date,death
Jan 2013,1072
Feb 2013,867
Mar 2013,835
Apr 2013,798
May 2013,847
Jun 2013,739
Jul 2013,614
Aug 2013,693
Sep 2013,793
Oct 2013,751
Nov 2013,837
Dec 2013,845
Jan 2014,911
Feb 2014,659
Mar 2014,756
Apr 2014,808
May 2014,705
Jun 2014,696
Jul 2014,735
Aug 2014,753
Sep 2014,720
Oct 2014,740
Nov 2014,784
Dec 2014,789
Jan 2015,782
Feb 2015,680
Mar 2015,665
Apr 2015,654
May 2015,661
Jun 2015,582
Jul 2015,635
Aug 2015,689
Sep 2015,748
Oct 2015,686
Nov 2015,589
Dec 2015,690
Jan 2016,679
Feb 2016,677
Mar 2016,654
Apr 2016,588
May 2016,553
Jun 2016,584
Jul 2016,567
Aug 2016,453
Sep 2016,556
Oct 2016,545
Nov 2016,505
Dec 2016,578
